die Grafik(en)	graphics — Plural noun
die Veranstaltung(en) im Team zu managen und zu organisieren	to manage and organize events in a team — Infinitive construction
bei der Organisation und dem Management der die Veranstaltung(en) dabei zu sein	to be involved in the organization and management of events — Infinitive phrase
der Nachhilfelehrer	tutor — Noun, masculine
weiterzuentwickeln	to further develop — Infinitive + zu
Bist du da?	Are you there? — Question
abhängig werden	to become dependent — Verb phrase
toxische	toxic — Adjective
der gesunde der Menschenverstand	common sense — Noun, masculine
die Unzulänglichkeit(en)	shortcomings — Noun, plural
wir haben unsere die Schwäche(n)	we have our weaknesses — Sentence
bis an ihr Lebensende	until the end of their life — Phrase
überfordert	overwhelmed — Adjective / Participle
der Gegensatz(ätze) ziehen sich an	opposites attract — Expression
man muss die Priorität(en) setzen	you have to set priorities — Sentence
das Opfer bringen	make sacrifices — Verb phrase
die Persönlichkeit öffentlichen Lebens	public figure — Noun phrase
das Privatleben	private life — Noun, neuter
ich habe zu viel darüber nachgedacht	I thought too much about it — Sentence
erstens ist alles anders, und zweitens als man denkt	first, everything is different, and second, than one thinks — Expression
es ist alles anders als man denkt	everything is different than one thinks — Expression
es ist alles anders wenn man denkt	everything is different when one thinks — Expression
einen der Absatz	a paragraph — Noun, masculine
verantwortungsbewusster	more responsible — Comparative adjective
umso unsinniger erscheint mir das, was die Politiker:innen machen/ sagen	the more nonsensical it seems to me what politicians do/say — Expression
der Lieferengpass(äe)	delivery bottlenecks / supply shortages — Noun, plural
bellen	to bark — Verb
der Hund bellt	the dog barks — Sentence
verlässlich	reliable — Adjective
etwas meistern	to master something — Verb phrase
desto weniger Personen schaffen es	the fewer people succeed — Comparative construction
sich anstrengen: sich Mühe geben	to exert oneself / make an effort — Reflexive verb / idiom
tiefgekühlte das Lebensmittel	frozen food — Noun, plural
die Merkfähigkeit	ability to remember — Noun, feminine
dann kann man sich schlecht erinnern	then it's hard to remember — Sentence
man kann es sich nicht gut merken	you can't remember it well — Sentence
aber nicht: dann hat man schlechte Erinnerungen	but not: then you have bad memories — Clarification
erinnere mich bitte daran	please remind me of that — Imperative
ich erinnere mich	I remember — Sentence
wenn er allein joggen geht, kann er zwar morgens gehen, aber er lernt keine Leute kennen.	when he jogs alone, he can go in the morning, but doesn't meet people — Sentence
Ins Schwimmbad kann er entweder morgens gehen oder abends	he can go to the swimming pool either in the morning or in the evening — Sentence
entweder morgens oder abends gehen	go either in the morning or in the evening — Phrase
er kann beim Fußballspielen zwar Leute kennenlernen, aber er kann nur abends spielen	he can meet people playing football, but only play in the evening — Sentence
weil es zu laut ist	because it's too loud — Subordinate clause
weil es zu viel Lärm gibt	because there's too much noise — Subordinate clause
weder... noch	neither... nor — Correlative conjunction
sie kann sich weder gut konzentrieren, noch ist es still/ leise	she can neither concentrate well, nor is it quiet — Sentence
mittelalterliche die Musik	medieval music — Noun phrase
ich gehe auf den Mittelaltermarkt	I'm going to the medieval fair — Sentence
ich gehe zu einer Konvention	I'm going to a convention — Sentence
ruhig	quiet — Adjective
in Ruhe	in peace / calmly — Adverbial phrase
auf einem der Markt	at a market — Prepositional phrase
auf einer die Party	at a party — Prepositional phrase
im das Stadion	in the stadium — Prepositional phrase
im der Supermarkt	in the supermarket — Prepositional phrase
auf einem der Turm	on a tower — Prepositional phrase
im der Park	in the park — Prepositional phrase
das Katzenklo	cat litter box — Noun, neuter
in das Aquarium wirft	throws into the aquarium — Verb phrase
einen der Hund halten	to keep a dog — Verb phrase
eigensinnig	stubborn / headstrong — Adjective
TeKaMoLo	(German adverbial word order rule: Temporal, Causal, Modal, Local) — Mnemonic
